Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
COMP SCI 577,2022-11-15,1:00 PM,2022-11-15,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-22,1:00 PM,2022-11-22,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-29,1:00 PM,2022-11-29,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-06,1:00 PM,2022-12-06,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-13,1:00 PM,2022-12-13,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-20,1:00 PM,2022-12-20,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
ENGL 140,2022-09-13,9:55 AM,2022-09-13,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-09-20,9:55 AM,2022-09-20,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-09-27,9:55 AM,2022-09-27,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-04,9:55 AM,2022-10-04,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-11,9:55 AM,2022-10-11,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-18,9:55 AM,2022-10-18,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-25,9:55 AM,2022-10-25,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-01,9:55 AM,2022-11-01,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-08,9:55 AM,2022-11-08,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-15,9:55 AM,2022-11-15,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-22,9:55 AM,2022-11-22,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-29,9:55 AM,2022-11-29,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-06,9:55 AM,2022-12-06,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-13,9:55 AM,2022-12-13,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-20,9:55 AM,2022-12-20,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
COMP SCI 577,2022-09-07,11:00 AM,2022-09-07,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-09-14,11:00 AM,2022-09-14,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
